Timestamp,First name,Last name,Sexe,Age,Email,Phone number,Where are you from ?,"If you are still studying, what level of education are you currently completing ?","If you are still studying, what school are you currently studying at ?",What's your work status ?,What field do you work in ?,How did you find out about our event ?,Comments if needed
25/10/2020 13:49:27,NA,NA,Female,Between 20 and 30,NA,NA,Algeria,Master's degree,Usthb,Studying,Operations Researchs,LinkedIn,NA
25/10/2020 14:42:58,NA,NA,Female,Between 31 and 40,NA,NA,USA,None,None,Employed,"Science, Engineering, Technology, & Mathematics",LinkedIn,NA
25/10/2020 14:43:15,NA,NA,Female,Between 31 and 40,NA,NA,USA,None,None,Employed,"Science, Engineering, Technology, & Mathematics",LinkedIn,NA
25/10/2020 15:10:34,NA,NA,Male,More than 40,NA,NA,Brazil,Doctorate degree,UFF,Employed,Education,Instagram,NA
25/10/2020 15:14:24,NA,NA,Female,More than 40,NA,NA,Brazil,Doctorate degree,None,Employed,"Science, Engineering, Technology, & Mathematics",A friend / a colleague,NA
25/10/2020 16:52:41,NA,NA,Female,More than 40,NA,NA,Algeria,Post-doctorate degree,UMMTO,Employed,"Science, Engineering, Technology, & Mathematics",Facebook,NA
25/10/2020 17:59:04,NA,NA,Female,Between 20 and 30,NA,NA,Tunisia,Engineering degree,ESSAI,Studying,"Science, Engineering, Technology, & Mathematics",Facebook,NA
25/10/2020 18:07:56,NA,NA,Male,Between 20 and 30,NA,NA,Tunisia,College degree,Tunis Business School,Studying,None,Facebook,NA
25/10/2020 18:16:15,NA,NA,Female,Between 20 and 30,NA,NA,Tunisia,Master's degree,ESSAI,Employed,"Science, Engineering, Technology, & Mathematics",LinkedIn,NA
25/10/2020 18:55:15,NA,NA,Female,Between 20 and 30,NA,NA,Tunisia,None,ENIT,Employed,"Science, Engineering, Technology, & Mathematics",Facebook,NA
25/10/2020 20:14:43,NA,NA,Female,Between 20 and 30,NA,NA,Tunisia,Engineering degree,Isitcom hammem sousse,Studying,"Science, Engineering, Technology, & Mathematics",Facebook,NA
25/10/2020 20:43:49,NA,NA,Female,Between 31 and 40,NA,NA,South Africa,Completed PhD,None,Employed,"Science, Engineering, Technology, & Mathematics",LinkedIn,NA
25/10/2020 20:55:53,NA,NA,Female,Between 20 and 30,NA,NA,Tunisia,Engineering degree,ESSAI,Studying,"Science, Engineering, Technology, & Mathematics",Facebook,NA
25/10/2020 21:20:42,NA,NA,Female,Between 31 and 40,NA,NA,USA,None,None,Employed,"Science, Engineering, Technology, & Mathematics",LinkedIn,NA
26/10/2020 04:46:31,NA,NA,Female,Between 31 and 40,NA,NA,Brazil,College degree,FIAP,Unemployed - Looking for work,"Science, Engineering, Technology, & Mathematics",Meetup,NA
26/10/2020 05:48:33,NA,NA,Female,Between 20 and 30,NA,NA,UAE,Master's degree,UoS,Studying,Biology,LinkedIn,NA
26/10/2020 06:25:25,NA,NA,Male,More than 40,NA,NA,India,Master's degree,None,Unemployed - Looking for work,"Science, Engineering, Technology, & Mathematics",Twitter,NA
26/10/2020 06:46:00,NA,NA,Female,Between 20 and 30,NA,NA,Kenya,Master's degree,Pwani University,Studying,"Science, Engineering, Technology, & Mathematics",Twitter,NA
26/10/2020 07:09:24,NA,NA,Male,Between 20 and 30,NA,NA,France,None,None,Employed,"Science, Engineering, Technology, & Mathematics",LinkedIn,NA
26/10/2020 07:19:49,NA,NA,Female,Between 31 and 40,NA,NA,Uk,None,None,Employed,Social science,Twitter,NA
26/10/2020 07:34:22,NA,NA,Female,Between 20 and 30,NA,NA,USA,Post-doctorate degree,None,Employed,Biology,Twitter,NA
26/10/2020 07:50:50,NA,NA,Male,Between 31 and 40,NA,NA,Austria,None,None,Self-employed/Freelance,"Science, Engineering, Technology, & Mathematics",Twitter,NA
26/10/2020 10:16:17,NA,NA,Female,Between 31 and 40,NA,NA,Italy,Doctorate degree,University of Cagliari,Studying,Biology,Twitter,NA
26/10/2020 11:52:52,NA,NA,Male,Between 20 and 30,NA,NA,India,None,None,Employed,E-commerce,Twitter,NA
26/10/2020 12:01:11,NA,NA,Male,Between 20 and 30,NA,NA,Tunisia,Engineering degree,None,Employed,Biology,LinkedIn,NA
26/10/2020 12:17:28,NA,NA,Female,Between 20 and 30,NA,NA,USA,None,None,Employed,Sensory Science,LinkedIn,NA
26/10/2020 20:22:38,NA,NA,Female,More than 40,NA,NA,Brazil,College degree,UFMG,Self-employed/Freelance,"Science, Engineering, Technology, & Mathematics",Instagram,NA
27/10/2020 07:33:27,NA,NA,Male,Between 20 and 30,NA,NA,kenya,College degree,MKU,Studying,"Science, Engineering, Technology, & Mathematics",Twitter,NA
27/10/2020 09:35:06,NA,NA,Female,Between 20 and 30,NA,NA,Tunisia,Engineering degree,ESPRIT,Studying,None,LinkedIn,NA
27/10/2020 12:30:16,NA,NA,Male,Between 31 and 40,NA,NA,South Africa,None,None,Employed,Financial services,LinkedIn,NA
27/10/2020 13:31:47,NA,NA,Female,Between 20 and 30,NA,NA,RDCongo,High school diploma,UNIKIN,Unemployed - Looking for work,"Science, Engineering, Technology, & Mathematics",LinkedIn,NA
27/10/2020 16:06:28,NA,NA,Female,Between 20 and 30,NA,NA,Morocco,Engineering degree,ESI,Studying,"Science, Engineering, Technology, & Mathematics",Facebook,NA
28/10/2020 00:48:39,NA,NA,Male,Between 20 and 30,NA,NA,Tunisia,Engineering degree,Tek-up,Studying,"Science, Engineering, Technology, & Mathematics",Facebook,NA
28/10/2020 15:15:14,NA,NA,Male,Between 20 and 30,NA,NA,Algeria,Master's degree,None,Unemployed - Looking for work,None,Facebook,NA
28/10/2020 23:03:52,NA,NA,Female,Between 20 and 30,NA,NA,Tunisia,Engineering degree,INSAT,Studying,"Science, Engineering, Technology, & Mathematics",Facebook,NA
29/10/2020 03:25:32,NA,NA,Female,More than 40,NA,NA,Nigeria,I am a Lecturer but currently searching for a postdoc in environmental microbiology,I teach at Madonna University Nigeria,Employed,Microbiology,Twitter,NA
29/10/2020 17:02:14,NA,NA,Male,Between 20 and 30,NA,NA,Cameroon,None,None,Unemployed - Looking for work,Telecommunications,LinkedIn,NA
29/10/2020 23:02:29,NA,NA,Female,Less than 20,NA,NA,Tunisia,College degree,TBS,Studying,Business Administration,Facebook,NA
30/10/2020 08:24:57,NA,NA,Male,Between 20 and 30,NA,NA,Tunisia,Engineering degree,FST,Studying,"Science, Engineering, Technology, & Mathematics",LinkedIn,NA
30/10/2020 08:33:33,NA,NA,Female,Between 20 and 30,NA,NA,Indonesia,College degree,FST,Studying,"Science, Engineering, Technology, & Mathematics",LinkedIn,NA
30/10/2020 08:52:58,NA,NA,Male,Between 31 and 40,NA,NA,Rwanda,Master's degree,University of Rwanda,Self-employed/Freelance,Research,LinkedIn,NA
30/10/2020 12:20:39,NA,NA,Female,Between 20 and 30,NA,NA,Tunisia,Master's degree,ISI,Studying,None,LinkedIn,NA
30/10/2020 13:02:31,NA,NA,Male,Between 20 and 30,NA,NA,Turkey,Master's degree,Istanbul Technical University,Studying,Economics,Twitter,NA
30/10/2020 13:04:39,NA,NA,Female,More than 40,NA,NA,NA,NA,NA,NA,NA,NA,NA
30/10/2020 13:06:12,NA,NA,Male,Between 31 and 40,NA,NA,Burkina Faso,Doctorate degree,Bambey university,Employed,"Science, Engineering, Technology, & Mathematics",Twitter,NA
30/10/2020 13:14:02,NA,NA,Female,Between 31 and 40,NA,NA,Oman,Doctorate degree,Durham university,Employed,Applied computational statistics,Twitter,NA
30/10/2020 13:16:04,NA,NA,Male,Between 20 and 30,NA,NA,Indonesia,College degree,STIS Polytechnic of Statistics,Studying,"Science, Engineering, Technology, & Mathematics",Twitter,NA
30/10/2020 13:34:32,NA,NA,Female,Between 31 and 40,NA,NA,Tunisia,Doctorate degree,ENSI,Studying,"Science, Engineering, Technology, & Mathematics",LinkedIn,NA
30/10/2020 13:56:41,NA,NA,Male,Between 20 and 30,NA,NA,India,None,None,Employed,Manufacturing,Twitter,NA
30/10/2020 14:16:32,NA,NA,Male,Between 20 and 30,NA,NA,Tunisia,Engineering degree,None,Self-employed/Freelance,"Science, Engineering, Technology, & Mathematics",Meetup,NA
30/10/2020 14:35:12,NA,NA,Female,Between 20 and 30,NA,NA,UAE,Master's degree,UoS,Studying,Biology,LinkedIn,NA
30/10/2020 15:49:45,NA,NA,Male,Between 31 and 40,NA,NA,India,Doctorate degree,None,Employed,Economics and demography,Twitter,NA
30/10/2020 18:30:09,NA,NA,Male,Between 20 and 30,NA,NA,Cote d'Ivoire,Master's degree,Felix Houphou<eb>t-Boigny University,Studying,Biology,Twitter,NA
31/10/2020 06:04:25,NA,NA,Male,Between 20 and 30,NA,NA,Nepal,None,None,Self-employed/Freelance,Biology,Twitter,NA
31/10/2020 09:08:09,NA,NA,Male,More than 40,NA,NA,Spain,None,None,Employed,"Science, Engineering, Technology, & Mathematics",Meetup,NA
31/10/2020 11:49:31,NA,NA,Female,Between 20 and 30,NA,NA,Tunisia,Engineering degree,Ecole polytechnique,Studying,"Science, Engineering, Technology, & Mathematics",LinkedIn,NA
31/10/2020 13:16:23,NA,NA,Female,Between 31 and 40,NA,NA,Tunisia,Doctorate degree,ENIT,Employed,"Science, Engineering, Technology, & Mathematics",LinkedIn,NA
31/10/2020 16:40:09,NA,NA,Male,Between 20 and 30,NA,NA,Egypt,College degree,ASU,Studying,"Science, Engineering, Technology, & Mathematics",Facebook,NA
31/10/2020 17:51:03,NA,NA,Female,Between 20 and 30,NA,NA,Tunisia,Doctorate degree,ENETCOM,Studying,"Science, Engineering, Technology, & Mathematics",Facebook,NA
31/10/2020 19:25:41,NA,NA,Female,Between 20 and 30,NA,NA,UAE,Master's degree,UoS,Studying,Biology,LinkedIn,NA
31/10/2020 22:37:27,NA,NA,Male,More than 40,NA,NA,USA,None,None,Unemployed - Looking for work,Biology,Twitter,NA
31/10/2020 23:58:57,NA,NA,Male,Between 20 and 30,NA,NA,France,Not studying,Not studying,Unemployed - Looking for work,"Science, Engineering, Technology, & Mathematics",LinkedIn,NA
1/11/2020 6:54,NA,NA,Female,Between 31 and 40,NA,NA,Tunisia,None,None,Employed,"Science, Engineering, Technology, & Mathematics",LinkedIn,NA
1/11/2020 7:13,NA,NA,Female,Between 20 and 30,NA,NA,Tunisia,Engineering degree,ENSIT,Studying,"Science, Engineering, Technology, & Mathematics",LinkedIn,NA
1/11/2020 8:50,NA,NA,Female,More than 40,NA,NA,India,None,None,Employed,"Transportation, Distribution & Logistics",Twitter,NA
1/11/2020 8:59,NA,NA,Male,Between 31 and 40,NA,NA,Italy,Doctorate degree,University for foreigners of Siena,Studying,Linguistics,Twitter,NA
1/11/2020 9:55,NA,NA,Female,Between 20 and 30,NA,NA,England,Doctorate degree,Lancaster University,Studying,"Science, Engineering, Technology, & Mathematics",Twitter,NA
1/11/2020 10:11,NA,NA,Female,More than 40,NA,NA,UK,Master's degree,Lancaster,Studying,Psychology,Twitter,NA
1/11/2020 10:50,NA,NA,Female,Between 20 and 30,NA,NA,France,Post-doctorate degree,None,Employed,Biology,Twitter,NA
1/11/2020 10:51,NA,NA,Female,Between 20 and 30,NA,NA,Tunisia,High school diploma,Centrale,Studying,Big data,LinkedIn,NA
1/11/2020 11:00,NA,NA,Male,Between 31 and 40,NA,NA,Egypt,Master's degree,Nile university,Studying and employed,"Science, Engineering, Technology, & Mathematics",Facebook,NA
1/11/2020 11:07,NA,NA,Female,More than 40,NA,NA,USA,None,None,Employed,Biology,Twitter,NA
1/11/2020 11:23,NA,NA,Female,More than 40,NA,NA,USA,Doctorate degree,None,Employed,"Science, Engineering, Technology, & Mathematics",Twitter,NA
1/11/2020 12:22,NA,NA,Male,Between 31 and 40,NA,NA,India,Master's degree,None,Employed,"Science, Engineering, Technology, & Mathematics",Twitter,NA
1/11/2020 12:26,NA,NA,Male,Between 31 and 40,NA,NA,Japan,Doctorate degree,Japan,Employed,"Science, Engineering, Technology, & Mathematics",Instagram,NA
1/11/2020 14:15,NA,NA,Female,Between 31 and 40,NA,NA,USA,None,None,Employed,Education,Twitter,NA
1/11/2020 15:15,NA,NA,Male,Between 20 and 30,NA,NA,Algeria,Master's degree,UABT - Tech,Unemployed - Looking for work,"Science, Engineering, Technology, & Mathematics",LinkedIn,NA
1/11/2020 16:02,NA,NA,Female,Between 20 and 30,NA,NA,Tunisia,Engineering degree,ESSAI,Studying,"Science, Engineering, Technology, & Mathematics",LinkedIn,NA
1/11/2020 16:18,NA,NA,Female,Between 20 and 30,NA,NA,USA,None,None,Employed,"Science, Engineering, Technology, & Mathematics",Twitter,NA
1/11/2020 17:56,NA,NA,Male,More than 40,NA,NA,Italy,None,None,Employed,Biology,Twitter,NA
1/11/2020 21:52,NA,NA,Female,Between 20 and 30,NA,NA,Morocco,Engineering degree,ESI,Studying,"Science, Engineering, Technology, & Mathematics",LinkedIn,NA
2/11/2020 8:44,NA,NA,Female,Between 20 and 30,NA,NA,Tunisia,None,None,Employed,"Science, Engineering, Technology, & Mathematics",Facebook,NA
2/11/2020 8:53,NA,NA,Male,Between 20 and 30,NA,NA,Tunisia,Engineering degree,ESPRIT,Studying,"Science, Engineering, Technology, & Mathematics",Facebook,NA
2/11/2020 8:53,NA,NA,Female,Between 31 and 40,NA,NA,Tunisia,Doctorate degree,medecine,Self-employed/Freelance,medecine,Facebook,NA
2/11/2020 9:04,NA,NA,Female,Between 20 and 30,NA,NA,Tunisia,Engineering degree,None,Studying,"Science, Engineering, Technology, & Mathematics",Facebook,NA
2/11/2020 9:21,NA,NA,Female,Between 20 and 30,NA,NA,Tunisia,Engineering degree,ESPRIT,Studying,"Science, Engineering, Technology, & Mathematics",Facebook,NA
2/11/2020 9:22,NA,NA,Female,Between 20 and 30,NA,NA,Tunisia,Engineering degree,ESSAI,Studying,"Science, Engineering, Technology, & Mathematics",LinkedIn,NA
2/11/2020 9:33,NA,NA,Male,Between 31 and 40,NA,NA,Tunisia,None,None,Employed,"Science, Engineering, Technology, & Mathematics",Facebook,NA
2/11/2020 10:05,NA,NA,Female,Between 20 and 30,NA,NA,Tunisia,Engineering degree,ESPRIT,Studying,"Science, Engineering, Technology, & Mathematics",Facebook,NA
2/11/2020 10:15,NA,NA,Female,Between 20 and 30,NA,NA,Tunisia,College degree,ISG Tunis,Studying,IT management,Facebook,NA
2/11/2020 10:47,NA,NA,Male,Between 20 and 30,NA,NA,Algeria,Master's degree,Usthb,Studying,"Science, Engineering, Technology, & Mathematics",LinkedIn,NA
2/11/2020 10:55,NA,NA,Female,Between 20 and 30,NA,NA,Tunisia,Engineering degree,ESPRIT,Studying,"Science, Engineering, Technology, & Mathematics",Facebook,NA
2/11/2020 11:22,NA,NA,Female,Between 20 and 30,NA,NA,Tunisia,Engineering degree,Esprit,Studying,"Science, Engineering, Technology, & Mathematics",Facebook,NA
2/11/2020 11:28,NA,NA,Male,Between 20 and 30,NA,NA,Tunisia,None,ESSAI,Employed,None,Facebook,NA
2/11/2020 11:44,NA,NA,Male,Between 20 and 30,NA,NA,Tunisia,Engineering degree,esprit,Studying,"Science, Engineering, Technology, & Mathematics",Facebook,NA
2/11/2020 11:53,NA,NA,Female,Between 31 and 40,NA,NA,Tunisia,Doctorate degree,medecine,Self-employed/Freelance,medecine,Facebook,NA
2/11/2020 17:06,NA,NA,Female,More than 40,NA,NA,Algeria,None,None,Employed,"Science, Engineering, Technology, & Mathematics",Facebook,NA
2/11/2020 18:13,NA,NA,Female,Between 20 and 30,NA,NA,Tunisia,Engineering degree,enis,Studying,"Science, Engineering, Technology, & Mathematics",Facebook,NA
2/11/2020 18:20,NA,NA,Male,Between 20 and 30,NA,NA,Ivory Coast,Licence,Computer Engineering,Studying,"Science, Engineering, Technology, & Mathematics",LinkedIn,NA
